sample,nm,period,height,gap,theta_1,theta_2,transmittance
66,0,0.6493026248,0.41502680329999997,0.0937877491,11.7060620393,27.0453370856,0.1654782351
66,1,0.6493026248,0.41502680329999997,0.0937877491,11.7060620393,27.0453370856,0.4262559367
66,2,0.6493026248,0.41502680329999997,0.0937877491,11.7060620393,27.0453370856,0.13538221279999998
66,3,0.6493026248,0.41502680329999997,0.0937877491,11.7060620393,27.0453370856,0.0938491501
67,0,0.5704939403,0.3886897598,0.0910648981,12.526052235999998,26.739838866,0.65803666
68,0,0.5655996158,0.4140123757,0.1008440491,11.5543201239,26.443132317800004,0.2888155462
68,1,0.5655996158,0.4140123757,0.1008440491,11.5543201239,26.443132317800004,0.4257382937
68,2,0.5655996158,0.4140123757,0.1008440491,11.5543201239,26.443132317800004,0.3999006881
69,0,0.5480988723,0.4025271439,0.10849628970000001,12.0039415783,29.2160903884,0.5979073844
70,0,0.5730740935,0.36617552329999997,0.09658151699999999,13.971292684200002,28.6827019028,0.3436792265
70,1,0.5730740935,0.36617552329999997,0.09658151699999999,13.971292684200002,28.6827019028,0.3812037621
70,2,0.5730740935,0.36617552329999997,0.09658151699999999,13.971292684200002,28.6827019028,0.2112594057
71,0,0.6117196538,0.42016753219999997,0.10027573769999999,13.2660524776,26.627101521,0.6169706664
